28.05.2015 08:12:52.15264 (0.5580855)Log "Roblox"
08:13:05.28264 (13.5237767)          		Performance.RobloxSuccessCount: 0
08:13:05.28264 (13.5237767)          		Profile.RobloxVersion: 0.49.0.444
08:13:05.28264 (13.5247768)          		Profile.SystemProductName: HP 255 G3 Notebook PC
08:13:05.28264 (13.5247768)          		Benchmarking.TickCountPreciseOverride: Precise
08:13:05.28264 (13.5247768)          		Profile.TotalPhysicalMemory: 3049
08:13:05.28264 (13.5247768)          		Performance.TotalProcessorTime: 0
08:13:05.28264 (13.5247768)          		Profile.VertexShaderModel: 0
08:13:05.28264 (13.5257770)          		Profile.VideoMemory: 497
08:13:05.28264 (13.5257770)          		Performance.VirtualBytes: 0
08:13:05.28264 (13.5257770)          		Behavior.archivable: true
08:13:05.28264 (13.5257770)          		Data.className: DebugSettings
08:13:05.28264 (13.5257770)          	Physics
08:13:05.28264 (13.5257770)          		Performance.AllowSleep: true
08:13:05.28264 (13.5257770)          		Behavior.Archivable: true
08:13:05.28264 (13.5257770)          		Display.AreAnchorsShown: false
08:13:05.28264 (13.5257770)          		Display.AreAwakePartsHighlighted: false
08:13:05.28264 (13.5257770)          		Display.AreModelCoordsShown: false
08:13:05.28264 (13.5257770)          		Display.AreOwnersShown: false
08:13:05.28264 (13.5257770)          		Display.ArePartCoordsShown: false
08:13:05.28264 (13.5257770)          		Display.AreRegionsShown: false
08:13:05.28264 (13.5267771)          		Display.AreUnalignedPartsShown: false
08:13:05.28264 (13.5267771)          		Display.AreWorldCoordsShown: false
08:13:05.28264 (13.5267771)          		Data.ClassName: PhysicsSettings
08:13:05.28264 (13.5267771)          		Data.DataCost: 4
08:13:05.28264 (13.5267771)          		Display.IsReceiveAgeShown: false
08:13:05.28264 (13.5267771)          		Data.Name: Physics
08:13:05.28264 (13.5267771)          		Performance.ParallelPhysics: false
08:13:05.28264 (13.5267771)          		Performance.PhysicsEnvironmentalThrottle: DefaultAuto
08:13:05.28264 (13.5267771)          		Data.RobloxLocked: false
08:13:05.28264 (13.5267771)          		Behavior.archivable: true
08:13:05.28264 (13.5267771)          		Data.className: PhysicsSettings
08:13:05.28264 (13.5267771)          	FastLogSettings
08:13:05.28264 (13.5267771)          		Behavior.Archivable: true
08:13:05.28264 (13.5267771)          		Data.ClassName: FastLogSettings
08:13:05.28264 (13.5277773)          		Data.DataCost: 4
08:13:05.28264 (13.5277773)          		Data.Name: FastLogSettings
08:13:05.28264 (13.5277773)          		Data.RobloxLocked: false
08:13:05.28264 (13.5277773)          		Behavior.archivable: true
08:13:05.28264 (13.5277773)          		Data.className: FastLogSettings
08:13:05.28264 (13.5277773)          	Authoring
08:13:05.28264 (13.5277773)          		Behavior.Archivable: true
08:13:05.28264 (13.5277773)          		Data.ClassName: Authoring
08:13:05.28264 (13.5277773)          		Data.DataCost: 4
08:13:05.28264 (13.5277773)          		Scripting.EditorFont: Courier New
08:13:05.28264 (13.5277773)          		Scripting.EditorFontSize: 10
08:13:05.28264 (13.5277773)          		Scripting.EditorTabWidth: 3
08:13:05.28264 (13.5277773)          		Data.Name: Authoring
08:13:05.28264 (13.5277773)          		Data.RobloxLocked: false
08:13:05.28264 (13.5277773)          		Browsing.ShowDeprecatedObjects: false
08:13:05.28264 (13.5277773)          		Browsing.ShowDevObjects: false
08:13:05.28264 (13.5277773)          		Browsing.ShowPreliminaryObjects: true
08:13:05.28264 (13.5277773)          		Behavior.archivable: true
08:13:05.28264 (13.5287774)          		Data.className: Authoring
08:13:05.28264 (13.5287774)          	Task Scheduler
08:13:05.28264 (13.5287774)          		Behavior.Archivable: true
