27.05.2015 16:31:18.36848 (2.1756951)Log "RobloxStudio"
16:31:18.36848 (2.1756951)          CrashReporter Start
16:41:51.14488 (635.8030426)          			BindToWorkspace
16:41:52.15488 (635.9800810)          			RenderRequestJob
16:41:52.15488 (635.9800810)          			RenderJob
16:41:52.15488 (635.9800810)          			WrapMouseJob
16:41:52.15488 (635.9800810)          			ConfigureStats
16:41:52.15488 (635.9810845)          		RobloxView::RobloxView - end
16:42:36.59488 (679.9014119)          		RobloxView::RobloxView - start
16:42:36.59488 (679.9014119)          			UserInput
16:42:36.59488 (680.0828370)          			Marshaller
16:42:36.59488 (680.0828370)          			ProfilingSection
16:42:36.59488 (680.0828370)          			BindToWorkspace
16:42:36.59488 (680.2610531)          			RenderRequestJob
16:42:36.59488 (680.2610531)          			RenderJob
16:42:36.59488 (680.2610531)          			WrapMouseJob
16:42:36.59488 (680.2610531)          			ConfigureStats
16:42:36.59488 (680.2620544)          		RobloxView::RobloxView - end
16:47:29.24808 (973.7079349)          Auto-Saving...
16:52:29.62664 (1273.7544847)          Auto-Saving...
16:57:29.34984 (1573.7999745)          Auto-Saving...
17:02:30.8304 (1873.8635430)          Auto-Saving...
17:07:30.46160 (2173.9021329)          Auto-Saving...
17:12:30.18480 (2473.9542077)          Auto-Saving...
17:12:37.25480 (2481.0937671)          Auto-Saving...
17:12:39.27480 (2483.4267625)          		RobloxView::RobloxView - start
17:12:39.27480 (2483.4277569)          			UserInput
17:12:39.27480 (2483.6406720)          			Marshaller
17:12:39.27480 (2483.6406720)          			ProfilingSection
17:12:39.27480 (2483.6406720)          			BindToWorkspace
17:12:40.28480 (2483.9306475)          			RenderRequestJob
17:12:40.28480 (2483.9306475)          			RenderJob
17:12:40.28480 (2483.9306475)          			WrapMouseJob
17:12:40.28480 (2483.9306475)          			ConfigureStats
17:12:40.28480 (2483.9316476)          		RobloxView::RobloxView - end
17:14:15.57944 (2579.3405880)          		RobloxView::RobloxView - start
17:14:15.57944 (2579.3415881)          			UserInput
17:14:15.57944 (2579.4953977)          			Marshaller
17:14:15.57944 (2579.4953977)          			ProfilingSection
17:14:15.57944 (2579.4953977)          			BindToWorkspace
17:14:15.57944 (2579.6546005)          			RenderRequestJob
17:14:15.57944 (2579.6546005)          			RenderJob
17:14:15.57944 (2579.6546005)          			WrapMouseJob
17:14:15.57944 (2579.6556006)          			ConfigureStats
17:14:15.57944 (2579.6556006)          		RobloxView::RobloxView - end
17:14:19.61944 (2583.7763805)          Auto-Saving...
17:14:20.62944 (2584.6435650)          		RobloxView::RobloxView - start
17:14:20.62944 (2584.6435650)          			UserInput
17:14:20.62944 (2584.7749645)          			Marshaller
17:14:20.62944 (2584.7749645)          			ProfilingSection
17:14:20.62944 (2584.7749645)          			BindToWorkspace
17:14:21.63944 (2584.9701689)          			RenderRequestJob
17:14:21.63944 (2584.9701689)          			RenderJob
17:14:21.63944 (2584.9711693)          			WrapMouseJob
17:14:21.63944 (2584.9721696)          			ConfigureStats
17:14:21.63944 (2584.9721696)          		RobloxView::RobloxView - end
17:15:29.872 (2653.3723004)          		RobloxView::RobloxView - start
17:15:29.872 (2653.3723004)          			UserInput
17:15:29.872 (2653.4843102)          			Marshaller
17:15:29.872 (2653.4843102)          			ProfilingSection
17:15:29.872 (2653.4843102)          			BindToWorkspace
17:15:29.872 (2653.7472277)          			RenderRequestJob
17:15:29.872 (2653.7482265)          			RenderJob
17:15:29.872 (2653.7482265)          			WrapMouseJob
17:15:29.872 (2653.7482265)          			ConfigureStats
17:15:29.872 (2653.7482265)          		RobloxView::RobloxView - end
17:17:17.43336 (2761.5982138) Error:   Error in script: '=' expected near '<eof>'
17:17:30.56336 (2774.0179589)          Auto-Saving...
17:17:45.5800 (2789.1216382)          > game.StarterPack["Energy Sword"].Humanoid.Torso = game.StarterPack["Energy Sword"].Handle
17:17:51.11800 (2795.0310341)          Auto-Saving...
17:17:52.12800 (2795.9900970)          		RobloxView::RobloxView - start
17:17:52.12800 (2795.9900970)          			UserInput
17:17:52.12800 (2796.1316586)          			Marshaller
17:17:52.12800 (2796.1316586)          			ProfilingSection
17:17:52.12800 (2796.1326616)          			BindToWorkspace
17:17:52.12800 (2796.2940880)          			RenderRequestJob
17:17:52.12800 (2796.2940880)          			RenderJob
17:17:52.12800 (2796.2940880)          			WrapMouseJob
17:17:52.12800 (2796.2940880)          			ConfigureStats
17:17:52.12800 (2796.2950844)          		RobloxView::RobloxView - end
