27.05.2015 08:04:23.30552 (48.9180849)Log "Roblox TaskScheduler Thread 2"
08:26:37.53832 (1383.5880362)          Baseplate waiting for Teams
08:26:37.53832 (1383.6220378)          Baseplate waiting for Teams
08:26:37.53832 (1383.6560412)          Baseplate waiting for Teams
08:26:38.54832 (1383.6880432)          Baseplate waiting for Teams
08:26:38.54832 (1383.7230454)          Baseplate waiting for Teams
08:26:38.54832 (1383.7903042)          Baseplate waiting for Teams
08:26:38.54832 (1383.8925592)          Baseplate waiting for Teams
08:26:38.54832 (1383.9275614)          Baseplate waiting for Teams
08:26:38.54832 (1383.9621741)          Baseplate waiting for Teams
08:26:38.54832 (1383.9973529)          Baseplate waiting for Teams
08:26:38.54832 (1384.0315266)          Baseplate waiting for Teams
08:26:38.54832 (1384.0644565)          Baseplate waiting for Teams
08:26:38.54832 (1384.0982891)          Baseplate waiting for Teams
08:26:38.54832 (1384.1321218)          Baseplate waiting for Teams
08:26:38.54832 (1384.2034527)          Baseplate waiting for Teams
08:26:38.54832 (1384.2814280)          Baseplate waiting for Teams
08:26:38.54832 (1384.3152619)          Baseplate waiting for Teams
08:26:38.54832 (1384.4215585)          Baseplate waiting for Teams
08:26:38.54832 (1384.4556809)          Baseplate waiting for Teams
08:26:38.54832 (1384.5466040)          Baseplate waiting for Teams
08:26:38.54832 (1384.5865794)          Baseplate waiting for Teams
08:26:38.54832 (1384.6205586)          Baseplate waiting for Teams
08:26:39.55832 (1384.8236321)          Baseplate waiting for Teams
08:26:39.55832 (1384.9176329)          Baseplate waiting for Teams
09:12:58.16784 (4164.0368579)          DataModel Loading http://www.roblox.com/asset/?id=235264088
10:19:43.24088 (8169.1810064)          Reducing...
10:19:44.25088 (8169.8370089)          Done! Time taken: 0.63100069761276 seconds.
10:20:40.15552 (8225.4444305)          Reducing...
10:20:40.15552 (8226.1594427)          Done! Time taken: 0.70001797610894 seconds.
10:23:49.7944 (8415.0947615)          Done! Time taken: 0.78490306250751 seconds.
10:25:42.55408 (8527.3646659)          Reducing...
10:28:39.35800 (8704.8670950)          Reducing...
10:28:40.36800 (8705.3726651)          Done! Time taken: 1.354305501678 seconds.
