27.05.2015 16:32:52.65312 (96.4541786)Log "Roblox TaskScheduler Thread 2"
16:32:52.65312 (96.4541786)          DataModel Loading http://www.roblox.com/asset/?id=235264088
17:21:48.52192 (3031.7966026)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:21:48.52192 (3031.7966026)          Stack End
17:21:48.52192 (3031.8986104) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:21:48.52192 (3031.8986104)          Stack Begin
17:21:48.52192 (3031.8986104)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:21:48.52192 (3031.8986104)          Stack End
17:21:49.53192 (3032.8356660) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:21:49.53192 (3032.8366651)          Stack Begin
17:21:49.53192 (3032.8366651)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:21:49.53192 (3032.8366651)          Stack End
17:21:49.53192 (3032.8496532) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:21:49.53192 (3032.8496532)          Stack Begin
17:21:49.53192 (3032.8496532)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:21:49.53192 (3032.8496532)          Stack End
17:21:49.53192 (3032.9165918) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:21:49.53192 (3032.9165918)          Stack Begin
17:21:49.53192 (3032.9165918)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:21:49.53192 (3032.9165918)          Stack End
17:21:50.54192 (3033.8927421) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:21:50.54192 (3033.8927421)          Stack Begin
17:21:50.54192 (3033.8927421)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:21:50.54192 (3033.8927421)          Stack End
17:21:50.54192 (3033.8927421) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:21:50.54192 (3033.8927421)          Stack Begin
17:21:50.54192 (3033.8937422)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:21:50.54192 (3033.8937422)          Stack End
17:21:51.55192 (3034.8937675) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:21:51.55192 (3034.8937675)          Stack Begin
17:21:51.55192 (3034.8937675)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:21:51.55192 (3034.8937675)          Stack End
17:21:52.56192 (3035.8993826) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:21:52.56192 (3035.8993826)          Stack Begin
17:21:52.56192 (3035.9003826)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:21:52.56192 (3035.9003826)          Stack End
17:21:54.58192 (3037.9405272) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:21:54.58192 (3037.9405272)          Stack Begin
17:21:54.58192 (3037.9405272)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:21:54.58192 (3037.9415271)          Stack End
17:22:11.9656 (3055.2141021) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:22:11.9656 (3055.2200939)          Stack Begin
17:22:11.9656 (3055.2200939)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:22:11.9656 (3055.2220911)          Stack End
17:23:15.8120 (3119.7134592) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:15.8120 (3119.7144541)          Stack Begin
17:23:15.8120 (3119.7144541)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:15.8120 (3119.7144541)          Stack End
17:23:28.21120 (3132.0782568) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:28.21120 (3132.0782568)          Stack Begin
17:23:28.21120 (3132.0792567)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:28.21120 (3132.0792567)          Stack End
17:23:34.27120 (3138.2086950) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:34.27120 (3138.2086950)          Stack Begin
17:23:34.27120 (3138.2096950)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:34.27120 (3138.2096950)          Stack End
17:23:35.28120 (3139.2987676) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:35.28120 (3139.3017677)          Stack Begin
17:23:35.28120 (3139.3017677)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:35.28120 (3139.3017677)          Stack End
17:23:39.32120 (3143.4515638) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:39.32120 (3143.4525638)          Stack Begin
17:23:39.32120 (3143.4525638)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:39.32120 (3143.4525638)          Stack End
17:23:40.33120 (3144.1055169) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:40.33120 (3144.1055169)          Stack Begin
17:23:40.33120 (3144.1055169)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:40.33120 (3144.1055169)          Stack End
17:23:46.39120 (3150.1369764) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:46.39120 (3150.1369764)          Stack Begin
17:23:46.39120 (3150.1369764)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:46.39120 (3150.1369764)          Stack End
17:23:46.39120 (3150.5580121) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:46.39120 (3150.5580121)          Stack Begin
17:23:46.39120 (3150.5580121)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:46.39120 (3150.5580121)          Stack End
17:23:51.44120 (3155.2388357) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:51.44120 (3155.2388357)          Stack Begin
17:23:51.44120 (3155.2388357)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:51.44120 (3155.2388357)          Stack End
17:23:58.51120 (3162.4113495) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:58.51120 (3162.4123497)          Stack Begin
17:23:58.51120 (3162.4123497)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:58.51120 (3162.4123497)          Stack End
18:23:09.63176 (6712.8778796) Error:   exception while signalling: The Parent property of Workspace is locked, current parent: dkxe's Place, new parent Player
18:23:51.39640 (6754.6654739)          someones in seat
19:54:35.44152 (12199.0487931)          Boop recieved from zarm
19:54:45.54152 (12209.0553326)          Boop recieved from zarm
19:54:45.54152 (12209.0573328)          Bang recieved from zarm
19:54:46.55152 (12209.5173670)          Bang recieved from zarm
19:54:47.56152 (12210.6709510)          Boop recieved from zarm
19:54:47.56152 (12210.8249473)          Boop recieved from zarm
19:54:47.56152 (12210.8589477)          Boop recieved from zarm
19:55:00.3616 (12223.9011088)          Boop recieved from zarm
19:55:00.3616 (12223.9183085)          Boop recieved from zarm
19:55:00.3616 (12223.9203094)          Boop recieved from zarm
19:55:00.3616 (12223.9203094)          Boop recieved from zarm
19:55:00.3616 (12223.9363166)          Boop recieved from zarm
19:55:00.3616 (12223.9363166)          Boop recieved from zarm
19:55:01.4616 (12224.5022833)          Boop recieved from zarm
19:55:01.4616 (12224.6872950)          Boop recieved from zarm
19:55:03.6616 (12226.2863524)          Boop recieved from zarm
19:55:03.6616 (12226.6044155)          Boop recieved from zarm
19:55:05.8616 (12228.7829711)          Boop recieved from zarm
19:55:05.8616 (12228.9449795)          Boop recieved from zarm
19:55:05.8616 (12228.9449795)          Boop recieved from zarm
19:55:05.8616 (12228.9449795)          Boop recieved from zarm
19:55:05.8616 (12229.2159572)          Boop recieved from zarm
19:55:07.10616 (12230.3515063)          Boop recieved from zarm
19:55:07.10616 (12230.6784862)          Boop recieved from zarm
19:55:07.10616 (12230.9900389)          Boop recieved from zarm
19:55:09.12616 (12232.4645416)          Boop recieved from zarm
19:55:09.12616 (12232.4645416)          Boop recieved from zarm
19:55:09.12616 (12232.4855410)          Boop recieved from zarm
19:55:10.13616 (12233.5350807)          Boop recieved from zarm
19:55:10.13616 (12233.5630829)          Boop recieved from zarm
19:55:10.13616 (12233.5670832)          Boop recieved from zarm
19:55:10.13616 (12233.7530737)          Boop recieved from zarm
19:55:10.13616 (12233.8354511)          Boop recieved from zarm
19:55:10.13616 (12233.9165995)          Bang recieved from zarm
19:55:10.13616 (12233.9315997)          Boop recieved from zarm
19:55:10.13616 (12233.9325997)          Boop recieved from zarm
19:55:10.13616 (12233.9325997)          Boop recieved from zarm
19:55:10.13616 (12233.9355997)          Bang recieved from zarm
19:55:10.13616 (12233.9355997)          Bang recieved from zarm
19:55:10.13616 (12233.9365997)          Bang recieved from zarm
19:55:10.13616 (12233.9395997)          Bang recieved from zarm
19:55:10.13616 (12233.9405998)          Bang recieved from zarm
19:55:10.13616 (12234.0536133)          Bang recieved from zarm
19:55:10.13616 (12234.0896167)          Bang recieved from zarm
19:55:10.13616 (12234.1247475)          Bang recieved from zarm
19:55:13.16616 (12237.2367100)          Boop recieved from zarm
19:55:13.16616 (12237.2367100)          Boop recieved from zarm
19:55:14.17616 (12237.2747067)          Boop recieved from zarm
19:55:14.17616 (12237.3097297)          Boop recieved from zarm
19:55:14.17616 (12237.3097297)          Boop recieved from zarm
19:55:14.17616 (12237.3097297)          Boop recieved from zarm
19:55:15.18616 (12238.3837652)          Boop recieved from zarm
19:55:15.18616 (12238.7977908)          Boop recieved from zarm
19:55:15.18616 (12238.9938546)          Boop recieved from zarm
19:55:15.18616 (12239.1411078)          Boop recieved from zarm
19:55:16.19616 (12239.6043324)          Boop recieved from zarm
19:55:16.19616 (12239.9503542)          Boop recieved from zarm
19:55:16.19616 (12240.0823549)          Boop recieved from zarm
19:55:17.20616 (12240.4461703)          Boop recieved from zarm
19:55:17.20616 (12240.5943831)          Boop recieved from zarm
19:55:17.20616 (12240.5943831)          Boop recieved from zarm
19:55:17.20616 (12240.6994234)          Boop recieved from zarm
19:55:17.20616 (12240.8233891)          Boop recieved from zarm
19:55:17.20616 (12240.8753490)          Boop recieved from zarm
19:55:19.22616 (12242.8471936)          Boop recieved from zarm
19:55:20.23616 (12243.2850037)          Boop recieved from zarm
19:55:20.23616 (12244.1680253)          Boop recieved from zarm
19:55:21.24616 (12244.4960277)          Boop recieved from zarm
19:55:23.26616 (12247.1831107)          Bang recieved from zarm
19:55:23.26616 (12247.2001109)          Boop recieved from zarm
19:55:23.26616 (12247.2001109)          Boop recieved from zarm
19:55:23.26616 (12247.2380911)          Bang recieved from zarm
19:55:23.26616 (12247.2380911)          Bang recieved from zarm
19:55:24.27616 (12247.3120895)          Bang recieved from zarm
19:55:24.27616 (12247.3120895)          Bang recieved from zarm
19:55:24.27616 (12247.3120895)          Bang recieved from zarm
19:55:24.27616 (12247.4910948)          Boop recieved from zarm
19:55:25.28616 (12248.6041047) Error:   Workspace.Radioactive Zombie.Respawn:7: attempt to index field 'Parent' (a nil value)
19:55:25.28616 (12248.6041047)          Stack Begin
19:55:25.28616 (12248.6051190)          Script 'Workspace.Radioactive Zombie.Respawn', Line 7
19:55:25.28616 (12248.6051190)          Stack End
19:55:25.28616 (12248.6411188) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
19:55:25.28616 (12248.6411188)          Stack Begin
19:55:25.28616 (12248.6411188)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
19:55:25.28616 (12248.6411188)          Stack End
19:56:41.39080 (12324.9089414)          Bang recieved from zarm
19:56:41.39080 (12324.9089414)          Bang recieved from zarm
19:56:41.39080 (12324.9239447)          Bang recieved from zarm
19:56:41.39080 (12325.1009205)          Bang recieved from zarm
19:56:41.39080 (12325.1079208)          Bang recieved from zarm
19:56:41.39080 (12325.1089209)          Bang recieved from zarm
20:02:02.32400 (12646.1155544)          Boop recieved from Left Arm
20:02:02.32400 (12646.2003281)          Boop recieved from Left Arm
20:02:03.33400 (12646.6833824)          Boop recieved from Left Arm
20:02:10.40400 (12653.6856275)          Bang recieved from HumanoidRootPart
20:02:10.40400 (12653.6856275)          Bang recieved from Head
20:02:11.41400 (12654.7736149)          Bang recieved from Right Arm
20:02:12.42400 (12656.2036272)          Bang recieved from Head
20:02:13.43400 (12656.3806160)          Bang recieved from Head
20:02:13.43400 (12656.3826189)          Bang recieved from Left Arm
20:02:20.50400 (12663.6767999)          Boop recieved from Right Arm
20:02:27.57400 (12670.6088932)          Boop recieved from Right Arm
20:02:27.57400 (12670.6638942)          Boop recieved from Right Arm
20:02:27.57400 (12670.7469020)          Boop recieved from Right Arm
20:02:27.57400 (12670.8669045)          Boop recieved from Right Arm
20:02:27.57400 (12670.8818966)          Boop recieved from Right Arm
20:02:27.57400 (12671.0529207)          Boop recieved from Left Arm
20:02:27.57400 (12671.0529207)          Boop recieved from Left Arm
20:02:29.59400 (12672.9099815)          Boop recieved from Right Arm
20:02:29.59400 (12672.9969513)          Boop recieved from Right Arm
20:02:29.59400 (12673.0659368)          Boop recieved from Right Arm
20:02:29.59400 (12673.2001023)          Boop recieved from Right Arm
20:02:30.60400 (12673.7269970)          Bang recieved from Torso
20:02:30.60400 (12673.7869975)          Boop recieved from Right Arm
20:02:30.60400 (12674.0200196)          Bang recieved from Right Arm
20:02:30.60400 (12674.0200196)          Bang recieved from Head
20:02:31.61400 (12674.3160415)          Boop recieved from Right Arm
20:02:31.61400 (12674.4820530)          Boop recieved from Right Arm
20:02:31.61400 (12675.0935702) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
20:02:31.61400 (12675.0935702)          Stack Begin
