27.05.2015 10:30:04.55264 (0.8304834)Log "RobloxStudio"
10:32:06.46192 (123.0419554)          		RobloxView::RobloxView - start
10:32:06.46192 (123.0419554)          			UserInput
10:32:06.46192 (123.1741216)          			Marshaller
10:32:06.46192 (123.1741216)          			ProfilingSection
10:32:06.46192 (123.1741216)          			BindToWorkspace
10:32:06.46192 (123.3401724)          			RenderRequestJob
10:32:06.46192 (123.3401724)          			RenderJob
10:32:06.46192 (123.3401724)          			WrapMouseJob
10:32:06.46192 (123.3401724)          			ConfigureStats
10:32:06.46192 (123.3411672)          		RobloxView::RobloxView - end
10:35:14.37584 (311.3750787)          Auto-Saving...
10:35:34.57584 (331.2248711)          Auto-Saving...
10:36:04.22048 (360.9352437)          Auto-Saving...
10:40:14.9904 (611.6276124)          Auto-Saving...
10:40:48.43904 (644.7857217)          Auto-Saving...
10:40:48.43904 (645.4991977)          		RobloxView::RobloxView - start
10:40:48.43904 (645.5001979)          			UserInput
10:40:48.43904 (645.6702585)          			Marshaller
10:40:48.43904 (645.6702585)          			ProfilingSection
10:40:48.43904 (645.6702585)          			BindToWorkspace
10:40:49.44904 (645.8442700)          			RenderRequestJob
10:40:49.44904 (645.8442700)          			RenderJob
10:40:49.44904 (645.8442700)          			WrapMouseJob
10:40:49.44904 (645.8442700)          			ConfigureStats
10:40:49.44904 (645.8442700)          		RobloxView::RobloxView - end
10:40:51.46904 (648.6254039) Error:   TR is not a valid member of Model
10:40:51.46904 (648.6274006)          Script 'Workspace.Energy Sword.Blade.TR', Line 2
10:40:51.46904 (648.6303955)          Stack End
10:40:51.46904 (648.6333904) Error:   TR is not a valid member of Model
10:40:51.46904 (648.6363854)          Script 'Workspace.Energy Sword.Blade.TR', Line 2
10:40:51.46904 (648.6383820)          Stack End
10:40:51.46904 (648.6403787) Error:   TR is not a valid member of Model
10:40:51.46904 (648.6433736)          Script 'Workspace.Energy Sword.Blade.TR', Line 2
10:40:51.46904 (648.6453702)          Stack End
10:40:51.46904 (648.6473669) Error:   TR is not a valid member of Model
10:40:51.46904 (648.6493635)          Script 'Workspace.Energy Sword.Blade.TR', Line 2
10:40:51.46904 (648.6523584)          Stack End
10:40:52.47904 (649.1779842) Error:   TR is not a valid member of Model
10:40:52.47904 (649.2189846)          Script 'Workspace.Energy Sword.Script', Line 4
10:40:52.47904 (649.2219846)          Stack End
10:40:52.47904 (649.2349847) Error:   TR is not a valid member of Model
10:40:52.47904 (649.2369847)          Script 'Workspace.Energy Sword.BladeTip.TR', Line 2
10:40:52.47904 (649.2399848)          Stack End
10:40:59.54904 (655.9869693)          		RobloxView::RobloxView - start
10:40:59.54904 (655.9869693)          			UserInput
10:40:59.54904 (656.1006785)          			Marshaller
10:40:59.54904 (656.1006785)          			ProfilingSection
10:40:59.54904 (656.1006785)          			BindToWorkspace
10:40:59.54904 (656.2515454)          			RenderRequestJob
10:40:59.54904 (656.2525401)          			RenderJob
10:40:59.54904 (656.2525401)          			WrapMouseJob
10:40:59.54904 (656.2525401)          			ConfigureStats
10:40:59.54904 (656.2525401)          		RobloxView::RobloxView - end
10:45:03.36760 (900.5304078)          RobloxMainWindow::handleFileOpen http://www.roblox.com//Game/edit.ashx?PlaceID=235264088&upload=235264088&testmode=false
10:45:03.36760 (900.5304078)          RobloxIDEDoc::open - start
10:45:04.37760 (900.7684237)          	Locking DataModel
10:45:04.37760 (901.0863665)          	Initializing Ogre
10:45:04.37760 (901.0863665)          	Initializing View
10:45:04.37760 (901.0993243)          	Initializing Explorer
10:45:04.37760 (901.2784682)          	Loading File : 
10:45:04.37760 (901.3084723)          	Loading Plugins
10:45:05.38760 (902.4066683)          	Open Success
10:45:05.38760 (902.4286862)          RobloxIDEDoc::open - end
10:45:08.41760 (904.9973228)          		RobloxView::RobloxView - start
10:45:08.41760 (904.9973228)          			UserInput
10:45:10.43760 (907.0035022)          			Marshaller
10:45:10.43760 (907.0035022)          			ProfilingSection
10:45:10.43760 (907.0045022)          			BindToWorkspace
10:45:10.43760 (907.2184483)          			RenderRequestJob
10:45:10.43760 (907.2184483)          			RenderJob
10:45:10.43760 (907.2184483)          			WrapMouseJob
10:45:10.43760 (907.2184483)          			ConfigureStats
10:45:10.43760 (907.2194483)          		RobloxView::RobloxView - end
10:46:42.4688 (999.3468448)          Auto-Saving...
10:46:43.5688 (1000.6805970)          		RobloxView::RobloxView - start
10:46:43.5688 (1000.6805970)          			UserInput
10:46:44.6688 (1001.2111321)          			Marshaller
10:46:44.6688 (1001.2111321)          			ProfilingSection
10:46:44.6688 (1001.2111321)          			BindToWorkspace
10:46:44.6688 (1001.4081359)          			RenderRequestJob
10:46:44.6688 (1001.4081359)          			RenderJob
10:46:44.6688 (1001.4081359)          			WrapMouseJob
10:46:44.6688 (1001.4081359)          			ConfigureStats
10:46:44.6688 (1001.4081359)          		RobloxView::RobloxView - end
10:47:05.27688 (1022.6146453)          		RobloxView::RobloxView - start
10:47:05.27688 (1022.6146453)          			UserInput
10:47:06.28688 (1022.7535796)          			Marshaller
10:47:06.28688 (1022.7535796)          			ProfilingSection
10:47:06.28688 (1022.7535796)          			BindToWorkspace
10:47:06.28688 (1022.9085953)          			RenderRequestJob
10:47:06.28688 (1022.9085953)          			RenderJob
10:47:06.28688 (1022.9085953)          			WrapMouseJob
10:47:06.28688 (1022.9115940)          			ConfigureStats
10:47:06.28688 (1022.9535765)          		RobloxView::RobloxView - end
10:47:07.29688 (1024.4995326)          Selected object wasn't a tool or was missing a handle.
10:48:01.18152 (1078.0651980)          Auto-Saving...
10:48:02.19152 (1079.0278870)          		RobloxView::RobloxView - start
10:48:02.19152 (1079.0288871)          			UserInput
10:48:02.19152 (1079.2011261)          			Marshaller
10:48:02.19152 (1079.2011261)          			ProfilingSection
10:48:02.19152 (1079.2011261)          			BindToWorkspace
10:48:02.19152 (1079.3632516)          			RenderRequestJob
10:48:02.19152 (1079.3632516)          			RenderJob
10:48:02.19152 (1079.3642522)          			WrapMouseJob
10:48:02.19152 (1079.3642522)          			ConfigureStats
10:48:02.19152 (1079.3642522)          		RobloxView::RobloxView - end
10:48:23.40152 (1100.3070262)          		RobloxView::RobloxView - start
10:48:23.40152 (1100.3080263)          			UserInput
10:48:23.40152 (1100.4630566)          			Marshaller
10:48:23.40152 (1100.4630566)          			ProfilingSection
10:48:23.40152 (1100.4630566)          			BindToWorkspace
10:48:23.40152 (1100.6271115)          			RenderRequestJob
10:48:23.40152 (1100.6271115)          			RenderJob
10:48:23.40152 (1100.6281118)          			WrapMouseJob
10:48:23.40152 (1100.6281118)          			ConfigureStats
10:48:23.40152 (1100.6281118)          		RobloxView::RobloxView - end
10:48:37.54152 (1114.0293053)          Auto-Saving...
10:48:38.55152 (1115.0540467)          		RobloxView::RobloxView - start
10:48:38.55152 (1115.0540467)          			UserInput
10:48:38.55152 (1115.1484900)          			Marshaller
10:48:38.55152 (1115.1484900)          			ProfilingSection
10:48:38.55152 (1115.1484900)          			BindToWorkspace
10:48:38.55152 (1115.3524983)          			RenderRequestJob
10:48:38.55152 (1115.3524983)          			RenderJob
10:48:38.55152 (1115.3524983)          			WrapMouseJob
10:48:38.55152 (1115.3534984)          			ConfigureStats
10:48:38.55152 (1115.3534984)          		RobloxView::RobloxView - end
10:48:44.61152 (1121.6540553)          		RobloxView::RobloxView - start
10:48:44.61152 (1121.6540553)          			UserInput
10:48:45.62152 (1121.7780660)          			Marshaller
10:48:45.62152 (1121.7780660)          			ProfilingSection
10:48:45.62152 (1121.7780660)          			BindToWorkspace
10:48:45.62152 (1122.0612054)          			RenderRequestJob
10:48:45.62152 (1122.0612054)          			RenderJob
10:48:45.62152 (1122.0612054)          			WrapMouseJob
10:48:45.62152 (1122.0612054)          			ConfigureStats
10:48:45.62152 (1122.0622069)          		RobloxView::RobloxView - end
10:48:56.7616 (1133.0113813)          Auto-Saving...
10:48:56.7616 (1133.5139218)          		RobloxView::RobloxView - start
