25.05.2015 12:21:34.60592 (0.8438400)Log "Roblox"
12:21:50.11056 (17.0194076)          		Data.RobloxLocked: false
12:21:50.11056 (17.0194076)          		Behavior.archivable: true
12:21:50.11056 (17.0194076)          		Data.className: FastLogSettings
12:21:50.11056 (17.0194076)          	Authoring
12:21:50.11056 (17.0194076)          		Behavior.Archivable: true
12:21:50.11056 (17.0194076)          		Data.ClassName: Authoring
12:21:50.11056 (17.0194076)          		Data.DataCost: 4
12:21:50.11056 (17.0194076)          		Scripting.EditorFont: Courier New
12:21:50.11056 (17.0194076)          		Scripting.EditorFontSize: 10
12:21:50.11056 (17.0194076)          		Scripting.EditorTabWidth: 3
12:21:50.11056 (17.0194076)          		Data.Name: Authoring
12:21:50.11056 (17.0194076)          		Data.RobloxLocked: false
12:21:50.11056 (17.0194076)          		Undo.RuntimeUndoBehavior: Aggregate
12:21:50.11056 (17.0194076)          		Browsing.ShowDeprecatedObjects: false
12:21:50.11056 (17.0204070)          		Browsing.ShowDevObjects: false
12:21:50.11056 (17.0204070)          		Behavior.archivable: true
12:21:50.11056 (17.0204070)          		Data.className: Authoring
12:21:50.11056 (17.0204070)          	Network
12:21:50.11056 (17.0204070)          		Behavior.Archivable: true
12:21:50.11056 (17.0204070)          		Diagnostics.ArePhysicsRejectionsReported: false
12:21:50.11056 (17.0204070)          		Data.CanSendPacketBufferLimit: 1
12:21:50.11056 (17.0204070)          		Data.ClassName: NetworkSettings
12:21:50.11056 (17.0204070)          		Data.DataCost: 4
12:21:50.11056 (17.0204070)          		Data.DataMtuAdjust: -200
12:21:50.11056 (17.0204070)          		Data.DataSendPriority: MEDIUM_PRIORITY
12:21:50.11056 (17.0204070)          		Network.DataSendRate: 30
12:21:50.11056 (17.0204070)          		Physics.ExperimentalPhysicsEnabled: true
12:21:50.11056 (17.0204070)          		Diagnostics.IncommingReplicationLag: 0
12:21:50.11056 (17.0204070)          		Network.IsQueueErrorComputed: true
12:21:50.11056 (17.0204070)          		Network.IsThrottledByCongestionControl: false
12:21:50.11056 (17.0204070)          		Network.IsThrottledByOutgoingBandwidthLimit: false
12:21:50.11056 (17.0214063)          		Data.MaxDataModelSendBuffer: 1
12:21:50.11056 (17.0214063)          		Data.Name: Network
12:21:50.11056 (17.0214063)          		Network.NetworkOwnerRate: 10
12:21:50.11056 (17.0214063)          		Physics.PhysicsMtuAdjust: -200
12:21:50.11056 (17.0214063)          		Physics.PhysicsReceive: Interpolation
12:21:50.11056 (17.0214063)          		Physics.PhysicsSend: ErrorComputation
12:21:50.11056 (17.0214063)          		Physics.PhysicsSendPriority: HIGH_PRIORITY
12:21:50.11056 (17.0214063)          		Network.PhysicsSendRate: 20
12:21:50.11056 (17.0224056)          		Network.PreferredClientPort: 0
12:21:50.11056 (17.0224056)          		Diagnostics.PrintEvents: false
12:21:50.11056 (17.0224056)          		Diagnostics.PrintInstances: false
12:21:50.11056 (17.0224056)          		Diagnostics.PrintPhysicsErrors: false
12:21:50.11056 (17.0224056)          		Diagnostics.PrintProperties: false
12:21:50.11056 (17.0224056)          		Diagnostics.PrintSplitMessage: false
12:21:50.11056 (17.0224056)          		Diagnostics.PrintTouches: false
12:21:50.11056 (17.0224056)          		Network.ReceiveRate: 60
12:21:50.11056 (17.0224056)          		Network.ReportStatURL: 
12:21:50.11056 (17.0224056)          		Data.RobloxLocked: false
12:21:50.11056 (17.0224056)          		Data.SendPacketBufferLimit: -1
12:21:50.11056 (17.0224056)          		Network.TouchSendRate: 10
12:21:50.11056 (17.0224056)          		Diagnostics.TrackDataTypes: false
12:21:50.11056 (17.0224056)          		Network.UseInstancePacketCache: false
12:21:50.11056 (17.0224056)          		Network.UsePhysicsPacketCache: false
12:21:50.11056 (17.0234050)          		Network.WaitingForCharacterLogRate: -1
12:21:50.11056 (17.0234050)          		Behavior.archivable: true
12:21:50.11056 (17.0234050)          		Data.className: NetworkSettings
12:21:50.11056 (17.0234050)          	Task Scheduler
12:21:50.11056 (17.0234050)          		Behavior.Archivable: true
12:21:50.11056 (17.0234050)          		Configuration.AreArbitersThrottled: false
12:21:50.11056 (17.0234050)          		Data.ClassName: TaskScheduler
12:21:50.11056 (17.0234050)          		Configuration.Concurrency: Logical
12:21:50.11056 (17.0234050)          		Data.DataCost: 4
12:21:50.11056 (17.0234050)          		Data.Name: Task Scheduler
12:21:50.11056 (17.0234050)          		Diagnostics.NumRunningJobs: 0
12:21:50.11056 (17.0234050)          		Diagnostics.NumSleepingJobs: 0
12:21:50.11056 (17.0234050)          		Diagnostics.NumWaitingJobs: 0
12:21:50.11056 (17.0234050)          		Configuration.PriorityMethod: AccumulatedError
12:21:50.11056 (17.0234050)          		Data.RobloxLocked: false
12:21:50.11056 (17.0244043)          		Diagnostics.SchedulerDutyCycle: 0.0018709715430984541
12:21:50.11056 (17.0244043)          		Diagnostics.SchedulerRate: 1153.8815703383304
12:21:50.11056 (17.0244043)          		Configuration.SleepAdjustMethod: AverageInterval
12:21:50.11056 (17.0244043)          		Diagnostics.ThreadAffinity: 1
