26.05.2015 09:25:31.48888 (0.3933876)Log "Roblox"
09:25:41.58888 (9.6907246)          		Performance.RobloxSuccessCount: 0
09:25:41.58888 (9.6917208)          		Profile.RobloxVersion: 0.49.0.444
09:25:41.58888 (9.6917208)          		Profile.SystemProductName: HP 255 G3 Notebook PC
09:25:41.58888 (9.6917208)          		Benchmarking.TickCountPreciseOverride: Precise
09:25:41.58888 (9.6917208)          		Profile.TotalPhysicalMemory: 3049
09:25:41.58888 (9.6917208)          		Performance.TotalProcessorTime: 0
09:25:41.58888 (9.6917208)          		Profile.VertexShaderModel: 0
09:25:41.58888 (9.6927169)          		Profile.VideoMemory: 497
09:25:41.58888 (9.6927169)          		Performance.VirtualBytes: 0
09:25:41.58888 (9.6927169)          		Behavior.archivable: true
09:25:41.58888 (9.6927169)          		Data.className: DebugSettings
09:25:41.58888 (9.6927169)          	Physics
09:25:41.58888 (9.6927169)          		Performance.AllowSleep: true
09:25:41.58888 (9.6927169)          		Behavior.Archivable: true
09:25:41.58888 (9.6927169)          		Display.AreAnchorsShown: false
09:25:41.58888 (9.6927169)          		Display.AreAwakePartsHighlighted: false
09:25:41.58888 (9.6927169)          		Display.AreModelCoordsShown: false
09:25:41.58888 (9.6937130)          		Display.AreOwnersShown: false
09:25:41.58888 (9.6937130)          		Display.ArePartCoordsShown: false
09:25:41.58888 (9.6937130)          		Display.AreRegionsShown: false
09:25:41.58888 (9.6937130)          		Display.AreUnalignedPartsShown: false
09:25:41.58888 (9.6937130)          		Display.AreWorldCoordsShown: false
09:25:41.58888 (9.6937130)          		Data.ClassName: PhysicsSettings
09:25:41.58888 (9.6937130)          		Data.DataCost: 4
09:25:41.58888 (9.6937130)          		Display.IsReceiveAgeShown: false
09:25:41.58888 (9.6937130)          		Data.Name: Physics
09:25:41.58888 (9.6937130)          		Performance.ParallelPhysics: false
09:25:41.58888 (9.6937130)          		Performance.PhysicsEnvironmentalThrottle: DefaultAuto
09:25:41.58888 (9.6937130)          		Data.RobloxLocked: false
09:25:41.58888 (9.6947091)          		Behavior.archivable: true
09:25:41.58888 (9.6947091)          		Data.className: PhysicsSettings
09:25:41.58888 (9.6947091)          	FastLogSettings
09:25:41.58888 (9.6947091)          		Behavior.Archivable: true
09:25:41.58888 (9.6947091)          		Data.ClassName: FastLogSettings
09:25:41.58888 (9.6947091)          		Data.DataCost: 4
09:25:41.58888 (9.6947091)          		Data.Name: FastLogSettings
09:25:41.58888 (9.6947091)          		Data.RobloxLocked: false
09:25:41.58888 (9.6947091)          		Behavior.archivable: true
09:25:41.58888 (9.6947091)          		Data.className: FastLogSettings
09:25:41.58888 (9.6947091)          	Authoring
09:25:41.58888 (9.6947091)          		Behavior.Archivable: true
09:25:41.58888 (9.6947091)          		Data.ClassName: Authoring
