26.05.2015 08:23:19.52440 (0.4350291)Log "Roblox"
08:23:31.64440 (12.7370795)          		Performance.RobloxSuccessCount: 0
08:23:31.64440 (12.7370795)          		Profile.RobloxVersion: 0.49.0.444
08:23:31.64440 (12.7380796)          		Profile.SystemProductName: HP 255 G3 Notebook PC
08:23:31.64440 (12.7380796)          		Benchmarking.TickCountPreciseOverride: Precise
08:23:31.64440 (12.7380796)          		Profile.TotalPhysicalMemory: 3049
08:23:31.64440 (12.7380796)          		Performance.TotalProcessorTime: 0
08:23:31.64440 (12.7380796)          		Profile.VertexShaderModel: 0
08:23:31.64440 (12.7390797)          		Profile.VideoMemory: 497
08:23:31.64440 (12.7390797)          		Performance.VirtualBytes: 0
08:23:31.64440 (12.7400798)          		Behavior.archivable: true
08:23:31.64440 (12.7400798)          		Data.className: DebugSettings
08:23:31.64440 (12.7400798)          	Physics
08:23:31.64440 (12.7400798)          		Performance.AllowSleep: true
08:23:31.64440 (12.7400798)          		Behavior.Archivable: true
08:23:31.64440 (12.7400798)          		Display.AreAnchorsShown: false
08:23:31.64440 (12.7400798)          		Display.AreAwakePartsHighlighted: false
08:23:31.64440 (12.7400798)          		Display.AreModelCoordsShown: false
08:23:31.64440 (12.7400798)          		Display.AreOwnersShown: false
08:23:31.64440 (12.7400798)          		Display.ArePartCoordsShown: false
08:23:31.64440 (12.7400798)          		Display.AreRegionsShown: false
08:23:31.64440 (12.7400798)          		Display.AreUnalignedPartsShown: false
08:23:31.64440 (12.7400798)          		Display.AreWorldCoordsShown: false
08:23:31.64440 (12.7410799)          		Data.ClassName: PhysicsSettings
08:23:31.64440 (12.7410799)          		Data.DataCost: 4
08:23:31.64440 (12.7410799)          		Display.IsReceiveAgeShown: false
08:23:31.64440 (12.7410799)          		Data.Name: Physics
08:23:31.64440 (12.7410799)          		Performance.ParallelPhysics: false
08:23:31.64440 (12.7410799)          		Performance.PhysicsEnvironmentalThrottle: DefaultAuto
08:23:31.64440 (12.7410799)          		Data.RobloxLocked: false
08:23:31.64440 (12.7410799)          		Behavior.archivable: true
