25.05.2015 12:34:08.28160 (0.9989880)Log "Roblox"
12:34:34.54160 (26.9964346)          		Performance.ProcessorTime: 0
12:34:34.54160 (26.9964346)          		Benchmarking.ProfilingWindow: 3
12:34:34.54160 (26.9974346)          		Profile.RAM: 3049
12:34:34.54160 (26.9984794)          		Errors.ReportExtendedMachineConfiguration: false
12:34:34.54160 (26.9984794)          		Errors.ReportSoundWarnings: false
12:34:34.54160 (26.9994799)          		Profile.Resolution: 1366x768
12:34:34.54160 (26.9994799)          		Performance.RobloxFailureCount: 0
12:34:34.54160 (26.9994799)          		Data.RobloxLocked: false
12:34:34.54160 (26.9994799)          		Profile.RobloxProductName: ROBLOX
12:34:34.54160 (26.9994799)          		Performance.RobloxRespoceTime: 0
12:34:34.54160 (26.9994799)          		Performance.RobloxSuccessCount: 0
12:34:34.54160 (26.9994799)          		Profile.RobloxVersion: 0.81.0.738
12:34:34.54160 (26.9994799)          		Profile.SystemProductName: HP 255 G3 Notebook PC
12:34:34.54160 (27.0004804)          		Benchmarking.TickCountPreciseOverride: Precise
12:34:34.54160 (27.0004804)          		Profile.TotalPhysicalMemory: 3049
12:34:34.54160 (27.0014809)          		Performance.TotalProcessorTime: 0
12:34:34.54160 (27.0014809)          		Profile.VertexShaderModel: 0
12:34:34.54160 (27.0024813)          		Profile.VideoMemory: 497
12:34:34.54160 (27.0024813)          		Performance.VirtualBytes: 0
12:34:34.54160 (27.0024813)          		Behavior.archivable: true
12:34:34.54160 (27.0024813)          		Data.className: DebugSettings
12:34:34.54160 (27.0024813)          	Physics
12:34:34.54160 (27.0024813)          		Performance.AllowSleep: true
12:34:34.54160 (27.0024813)          		Behavior.Archivable: true
12:34:34.54160 (27.0024813)          		Display.AreAnchorsShown: false
12:34:34.54160 (27.0024813)          		Display.AreAwakePartsHighlighted: false
12:34:34.54160 (27.0034818)          		Display.AreModelCoordsShown: false
12:34:34.54160 (27.0034818)          		Display.AreOwnersShown: false
12:34:34.54160 (27.0034818)          		Display.ArePartCoordsShown: false
12:34:34.54160 (27.0034818)          		Display.AreRegionsShown: false
12:34:34.54160 (27.0034818)          		Display.AreUnalignedPartsShown: false
12:34:34.54160 (27.0034818)          		Display.AreWorldCoordsShown: false
12:34:34.54160 (27.0034818)          		Data.ClassName: PhysicsSettings
12:34:34.54160 (27.0034818)          		Data.DataCost: 4
12:34:34.54160 (27.0034818)          		Display.IsReceiveAgeShown: false
12:34:34.54160 (27.0034818)          		Data.Name: Physics
12:34:34.54160 (27.0034818)          		Performance.ParallelPhysics: false
12:34:34.54160 (27.0034818)          		Performance.PhysicsEnvironmentalThrottle: DefaultAuto
12:34:34.54160 (27.0034818)          		Data.RobloxLocked: false
12:34:34.54160 (27.0034818)          		Performance.ThrottleAdjustTime: 1
12:34:34.54160 (27.0034818)          		Behavior.archivable: true
12:34:34.54160 (27.0044823)          		Data.className: PhysicsSettings
12:34:34.54160 (27.0044823)          	FastLogSettings
12:34:34.54160 (27.0044823)          		Behavior.Archivable: true
12:34:34.54160 (27.0044823)          		Data.ClassName: FastLogSettings
12:34:34.54160 (27.0044823)          		Data.DataCost: 4
12:34:34.54160 (27.0044823)          		Data.Name: FastLogSettings
12:34:34.54160 (27.0044823)          		Data.RobloxLocked: false
12:34:34.54160 (27.0044823)          		Behavior.archivable: true
12:34:34.54160 (27.0044823)          		Data.className: FastLogSettings
12:34:34.54160 (27.0044823)          	Authoring
12:34:34.54160 (27.0044823)          		Behavior.Archivable: true
12:34:34.54160 (27.0044823)          		Data.ClassName: Authoring
12:34:34.54160 (27.0044823)          		Data.DataCost: 4
12:34:34.54160 (27.0044823)          		Scripting.EditorFont: Courier New
12:34:34.54160 (27.0044823)          		Scripting.EditorFontSize: 10
12:34:34.54160 (27.0044823)          		Scripting.EditorTabWidth: 3
12:34:34.54160 (27.0054828)          		Data.Name: Authoring
12:34:34.54160 (27.0054828)          		Data.RobloxLocked: false
12:34:34.54160 (27.0054828)          		Undo.RuntimeUndoBehavior: Aggregate
12:34:34.54160 (27.0054828)          		Browsing.ShowDeprecatedObjects: false
12:34:34.54160 (27.0054828)          		Browsing.ShowDevObjects: false
12:34:34.54160 (27.0054828)          		Behavior.archivable: true
12:34:34.54160 (27.0054828)          		Data.className: Authoring
12:34:34.54160 (27.0054828)          	Network
12:34:34.54160 (27.0054828)          		Behavior.Archivable: true
12:34:34.54160 (27.0054828)          		Diagnostics.ArePhysicsRejectionsReported: false
12:34:34.54160 (27.0054828)          		Data.CanSendPacketBufferLimit: 1
12:34:34.54160 (27.0054828)          		Data.ClassName: NetworkSettings
12:34:34.54160 (27.0054828)          		Data.DataCost: 4
12:34:34.54160 (27.0064832)          		Data.DataMtuAdjust: -200
12:34:34.54160 (27.0064832)          		Data.DataSendPriority: MEDIUM_PRIORITY
12:34:34.54160 (27.0064832)          		Network.DataSendRate: 30
12:34:34.54160 (27.0064832)          		Physics.ExperimentalPhysicsEnabled: true
12:34:34.54160 (27.0064832)          		Diagnostics.IncommingReplicationLag: 0
12:34:34.54160 (27.0064832)          		Network.IsQueueErrorComputed: true
12:34:34.54160 (27.0064832)          		Network.IsThrottledByCongestionControl: false
12:34:34.54160 (27.0064832)          		Network.IsThrottledByOutgoingBandwidthLimit: false
12:34:34.54160 (27.0064832)          		Data.MaxDataModelSendBuffer: 1
12:34:34.54160 (27.0064832)          		Data.Name: Network
12:34:34.54160 (27.0084842)          		Network.NetworkOwnerRate: 10
12:34:34.54160 (27.0084842)          		Physics.PhysicsMtuAdjust: -200
12:34:34.54160 (27.0084842)          		Physics.PhysicsReceive: Interpolation
12:34:34.54160 (27.0084842)          		Physics.PhysicsSend: ErrorComputation
12:34:34.54160 (27.0084842)          		Physics.PhysicsSendPriority: HIGH_PRIORITY
12:34:34.54160 (27.0084842)          		Network.PhysicsSendRate: 20
12:34:34.54160 (27.0084842)          		Network.PreferredClientPort: 0
12:34:34.54160 (27.0084842)          		Diagnostics.PrintEvents: false
12:34:34.54160 (27.0084842)          		Diagnostics.PrintInstances: false
12:34:34.54160 (27.0084842)          		Diagnostics.PrintPhysicsErrors: false
12:34:34.54160 (27.0084842)          		Diagnostics.PrintProperties: false
12:34:34.54160 (27.0084842)          		Diagnostics.PrintSplitMessage: false
12:34:34.54160 (27.0094847)          		Diagnostics.PrintTouches: false
12:34:34.54160 (27.0094847)          		Network.ReceiveRate: 60
12:34:34.54160 (27.0094847)          		Network.ReportStatURL: 
12:34:34.54160 (27.0094847)          		Data.RobloxLocked: false
12:34:34.54160 (27.0094847)          		Data.SendPacketBufferLimit: -1
12:34:34.54160 (27.0094847)          		Network.TouchSendRate: 10
12:34:34.54160 (27.0094847)          		Diagnostics.TrackDataTypes: false
12:34:34.54160 (27.0094847)          		Network.UseInstancePacketCache: false
12:34:34.54160 (27.0094847)          		Network.UsePhysicsPacketCache: false
12:34:34.54160 (27.0094847)          		Network.WaitingForCharacterLogRate: 7864421
12:34:34.54160 (27.0094847)          		Behavior.archivable: true
12:34:34.54160 (27.0094847)          		Data.className: NetworkSettings
12:34:34.54160 (27.0094847)          	Task Scheduler
12:34:34.54160 (27.0094847)          		Behavior.Archivable: true
12:34:34.54160 (27.0094847)          		Configuration.AreArbitersThrottled: false
12:34:34.54160 (27.0094847)          		Data.ClassName: TaskScheduler
12:34:34.54160 (27.0104851)          		Configuration.Concurrency: Logical
12:34:34.54160 (27.0104851)          		Data.DataCost: 4
12:34:34.54160 (27.0104851)          		Data.Name: Task Scheduler
12:34:34.54160 (27.0104851)          		Diagnostics.NumRunningJobs: 0
12:34:34.54160 (27.0104851)          		Diagnostics.NumSleepingJobs: 0
12:34:34.54160 (27.0104851)          		Diagnostics.NumWaitingJobs: 0
12:34:34.54160 (27.0104851)          		Configuration.PriorityMethod: AccumulatedError
12:34:34.54160 (27.0104851)          		Data.RobloxLocked: false
12:34:34.54160 (27.0104851)          		Diagnostics.SchedulerDutyCycle: 9.3612293800469126e-005
12:34:34.54160 (27.0104851)          		Diagnostics.SchedulerRate: 21.201662665743843
12:34:34.54160 (27.0104851)          		Configuration.SleepAdjustMethod: AverageInterval
12:34:34.54160 (27.0104851)          		Diagnostics.ThreadAffinity: 1
12:34:34.54160 (27.0104851)          		Configuration.ThreadPoolConfig: Auto
12:34:34.54160 (27.0104851)          		Diagnostics.ThreadPoolSize: 2
12:34:34.54160 (27.0114856)          		Configuration.ThrottledJobSleepTime: 0.01
12:34:34.54160 (27.0114856)          		Behavior.archivable: true
12:34:34.54160 (27.0114856)          		Data.className: TaskScheduler
12:34:34.54160 (27.0114856)          	Rendering
12:34:34.54160 (27.0114856)          		Quality.AASamples: None
12:34:34.54160 (27.0114856)          		Quality.AluminumQuality: Low
12:34:34.54160 (27.0114856)          		General.AlwaysDrawConnectors: false
12:34:34.54160 (27.0114856)          		Quality.Antialiasing: Off
12:34:34.54160 (27.0114856)          		Behavior.Archivable: true
12:34:34.54160 (27.0114856)          		Debug.AutoFRMLevel: 1
12:34:34.54160 (27.0114856)          		Performance.BatchSize: 20
12:34:34.54160 (27.0114856)          		Quality.Bevels: Automatic
12:34:34.54160 (27.0124861)          		Data.ClassName: RenderSettings
12:34:34.54160 (27.0124861)          		Quality.CompoundMaterialQuality: Automatic
12:34:34.54160 (27.0124861)          		Quality.CorrodedMetalQuality: Automatic
12:34:34.54160 (27.0124861)          		Data.DataCost: 4
12:34:34.54160 (27.0124861)          		Debug.DebugCullBlockCount: -1
12:34:34.54160 (27.0124861)          		Debug.DebugDisableDebriService: false
12:34:34.54160 (27.0124861)          		Debug.DebugDisableInterpolation: false
12:34:34.54160 (27.0124861)          		Debug.DebugFRMCullHumanoids: false
12:34:34.54160 (27.0124861)          		Debug.DebugLogFRMLogVariables: false
12:34:34.54160 (27.0124861)          		Quality.DiamondPlateQuality: Automatic
12:34:34.54160 (27.0124861)          		Performance.EagerBulkExecution: false
12:34:34.54160 (27.0134866)          		Debug.EnableFRM: false
12:34:34.54160 (27.0134866)          		General.FrameRateManager: Automatic
12:34:34.54160 (27.0134866)          		Quality.GrassQuality: Automatic
12:34:34.54160 (27.0134866)          		Quality.IceQuality: Automatic
12:34:34.54160 (27.0134866)          		Debug.IsAggregationShown: false
12:34:34.54160 (27.0134866)          		Performance.IsSynchronizedWithPhysics: false
12:34:34.54160 (27.0134866)          		Cache.MeshCacheSize: 33554432
12:34:34.54160 (27.0134866)          		Data.Name: Rendering
12:34:34.54160 (27.0134866)          		Quality.PlasticQuality: Automatic
12:34:34.54160 (27.0134866)          		Performance.QualityLevel: Level01
12:34:34.54160 (27.0134866)          		Screen.Resolution: Automatic
12:34:34.54160 (27.0134866)          		Data.RobloxLocked: false
12:34:34.54160 (27.0134866)          		Debug.Shadow: Automatic
12:34:34.54160 (27.0134866)          		Debug.ShowBoundingBoxes: false
12:34:34.54160 (27.0134866)          		Quality.SlateQuality: Automatic
12:34:34.54160 (27.0134866)          		Cache.TextureCacheSize: 33554432
12:34:34.54160 (27.0134866)          		Debug.TextureCompositingEnabled: true
12:34:34.54160 (27.0144870)          		Quality.TrussDetail: Automatic
12:34:34.54160 (27.0144870)          		Performance.UsesPaintMessage: true
12:34:34.54160 (27.0144870)          		Quality.WoodQuality: Automatic
12:34:34.54160 (27.0144870)          		Behavior.archivable: true
12:34:34.54160 (27.0144870)          		Data.className: RenderSettings
12:34:34.54160 (27.0144870)          		General.graphicsMode: OpenGL
12:34:34.54160 (27.0144870)          		Quality.profileName: profiled5
12:34:34.54160 (27.0154875)          End GlobalSettings -----------------------------------
12:34:34.54160 (27.0154875)          GameSettings ---------------------------------------
12:34:34.54160 (27.0154875)          	GameSettings
12:34:34.54160 (27.0154875)          		Data.AllTutorialsDisabled: false
12:34:34.54160 (27.0164880)          		Behavior.Archivable: true
12:34:34.54160 (27.0164880)          		Data.ClassName: UserGameSettings
12:34:34.54160 (27.0164880)          		Data.CompletedTutorials: 
12:34:34.54160 (27.0164880)          		Control.ControlMode: Classic
12:34:34.54160 (27.0164880)          		Data.DataCost: 4
12:34:34.54160 (27.0164880)          		Data.Fullscreen: false
12:34:34.54160 (27.0164880)          		Data.Name: GameSettings
12:34:34.54160 (27.0164880)          		Data.RobloxLocked: false
12:34:34.54160 (27.0164880)          		Appearance.SavedQualityLevel: Automatic
12:34:34.54160 (27.0184889)          		Video.VideoUploadPromptBehavior: Ask
12:34:34.54160 (27.0184889)          		Behavior.archivable: true
12:34:34.54160 (27.0184889)          		Data.className: UserGameSettings
12:34:34.54160 (27.0184889)          End GameSettings -----------------------------------
12:34:36.56160 (29.1004567)          Probing D3D for suitable Device...
12:34:36.56160 (29.2110427)          Attempting to find closest D3DDevice to: DeviceType: D3DDEVTYPE_HAL Resolution: 1366x768 AdapterFormat: D3DFMT_UNKNOWN BackBufferFormat: D3DFMT_UNKNOWN BehaviorFlags: 0 Windowed: 1 PresentParameters: 0x
00000556 00000300 00000000 00000000 00000000 00000000 00000000 00000000
00000001 00000000 00000000 00000000 00000000 00000000 
12:34:36.56160 (29.2518951)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_X8R8G8B8 BackBufferFormat: D3DFMT_A8R8G8B8 Windowed: 0 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
12:34:36.56160 (29.3000960)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_X8R8G8B8 BackBufferFormat: D3DFMT_A8R8G8B8 Windowed: 1 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
12:34:36.56160 (29.3000960)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_X8R8G8B8 BackBufferFormat: D3DFMT_X8R8G8B8 Windowed: 0 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
